0.0,0.0,0.02,1.0,0.02,0.2,0.2,0.25,0.0,0.39,0.04,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,1.0,0.97,0.25,0.01,0.34,0.05,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.08,0.03,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.08,0.04,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.42,0.05,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.42,0.08,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.34,0.08,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.45,0.1,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.03,0.05,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.47,0.07,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.5,0.11,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.45,0.1,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.53,0.12,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.53,0.14,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.45,0.1,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.55,0.25,1.0,0.53,0.15,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.2,0.25,0.0,0.55,0.12,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.42,0.16,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.55,0.25,1.0,0.58,0.14,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.47,0.1,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.47,0.11,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.61,0.12,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.45,0.1,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.5,0.16,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,1.0,0.99,0.25,0.01,0.42,0.19,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.56,0.25,1.0,0.63,0.18,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.45,0.14,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.15,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.16,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.18,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.38,0.25,0.0,0.68,0.15,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.68,0.16,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.38,0.25,0.0,0.55,0.22,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.38,0.25,0.0,0.71,0.07,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.38,0.25,0.0,0.53,0.23,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.23,0.5,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.68,0.26,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.71,0.26,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.68,0.27,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.39,0.32,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.39,0.33,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.08,0.34,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.34,0.21,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.08,0.44,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.34,0.29,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.42,0.38,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.08,0.56,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.34,0.42,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.5,0.62,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.5,0.64,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.47,0.47,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.05,0.73,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.66,1.0,1.0,0.0,0.45,1.0,0.88,0.25,0.9,0.68,0.21,normal
0.01,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.21,0.0,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.16,0.0,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.11,0.0,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.18,0.0,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.37,0.01,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.21,0.01,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.11,0.01,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.2,0.25,0.0,0.39,0.04,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,1.0,0.97,0.25,0.01,0.37,0.05,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.16,0.03,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.16,0.04,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.42,0.05,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.42,0.07,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.42,0.08,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.37,0.08,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.11,0.05,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.45,0.07,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.47,0.11,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.21,0.05,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.5,0.12,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.5,0.14,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.39,0.08,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.55,0.25,1.0,0.5,0.15,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.2,0.25,0.0,0.53,0.12,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.42,0.16,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.55,0.25,1.0,0.55,0.14,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.45,0.1,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.45,0.11,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.58,0.12,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.61,0.1,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.47,0.16,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,1.0,0.99,0.25,0.01,0.42,0.19,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.56,0.25,1.0,0.63,0.18,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.61,0.14,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.03,0.14,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.19,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.15,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.16,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.66,0.18,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.58,0.15,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.56,0.25,1.0,0.68,0.16,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.56,0.25,1.0,0.68,0.18,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.56,0.25,0.0,0.68,0.19,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.38,0.25,0.0,0.71,0.15,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.71,0.16,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.38,0.25,0.0,0.53,0.22,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.38,0.25,0.0,0.74,0.18,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.38,0.25,0.0,0.5,0.23,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.38,0.25,0.0,0.68,0.21,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.63,0.23,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.71,0.26,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.79,0.26,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.71,0.27,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.39,0.32,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.39,0.33,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.6,0.55,0.25,1.0,0.82,0.25,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.55,0.25,1.0,0.82,0.26,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,0.0,0.82,0.27,0.5,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.16,0.34,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.37,0.21,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.16,0.44,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.37,0.29,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.5,0.38,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.42,0.38,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.16,0.56,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.37,0.42,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.74,0.44,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.47,0.62,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.47,0.64,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.42,0.56,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.45,0.47,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.02,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.74,0.59,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.03,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.13,0.73,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.21,0.81,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.21,0.95,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.66,1.0,1.0,0.0,0.64,1.0,0.76,0.0,0.97,1.0,0.24,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.26,0.21,1.0,0.0,0.0,0.11,0.17,0.75,0.0,0.21,1.0,normal
0.02,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.26,0.29,1.0,0.0,0.0,0.11,0.17,0.75,0.0,0.21,1.0,normal
0.02,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.01,0.26,0.42,1.0,0.0,0.0,0.11,0.17,0.75,0.0,0.21,1.0,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.08,0.73,1.0,0.0,0.0,0.11,0.17,0.75,0.0,0.21,1.0,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.26,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.32,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.29,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.21,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.18,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.13,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.16,0.0,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.0,0.02,0.8,0.99,0.25,0.01,0.37,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.21,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.2,0.0,0.0,0.0,0.32,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.08,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.2,0.0,0.0,0.0,0.26,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.2,0.25,0.0,0.39,0.04,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.29,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.18,0.01,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.18,0.03,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.29,0.03,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.26,0.04,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.8,0.0,0.0,0.0,0.13,0.03,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.4,0.0,0.0,0.0,0.13,0.04,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.42,0.05,1.0,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.42,0.08,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.45,0.08,1.0,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.0,0.02,0.6,1.0,0.25,0.01,0.37,0.08,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.08,0.05,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,1.0,0.02,0.2,0.56,0.25,0.0,0.47,0.07,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.0,0.02,0.4,0.56,0.25,1.0,0.5,0.11,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
0.0,0.0,0.02,0.62,0.02,0.6,0.0,0.0,0.0,0.21,0.05,0.5,0.0,0.91,1.0,0.62,0.0,0.97,0.84,0.17,normal
